threshold,mode,precision,recall,f1,tp,fp,fn,tn
0.05,heuristic,1.000,0.958,0.979,115,0,5,80
0.05,llm,1.000,0.958,0.979,115,0,5,80
0.05,combined,1.000,0.958,0.979,115,0,5,80
0.1,heuristic,1.000,0.958,0.979,115,0,5,80
0.1,llm,1.000,0.958,0.979,115,0,5,80
0.1,combined,1.000,0.958,0.979,115,0,5,80
0.15,heuristic,1.000,0.958,0.979,115,0,5,80
0.15,llm,1.000,0.958,0.979,115,0,5,80
0.15,combined,1.000,0.958,0.979,115,0,5,80
0.2,heuristic,1.000,0.958,0.979,115,0,5,80
0.2,llm,1.000,0.958,0.979,115,0,5,80
0.2,combined,1.000,0.958,0.979,115,0,5,80
0.25,heuristic,1.000,0.958,0.979,115,0,5,80
0.25,llm,1.000,0.958,0.979,115,0,5,80
0.25,combined,1.000,0.958,0.979,115,0,5,80
0.3,heuristic,1.000,0.958,0.979,115,0,5,80
0.3,llm,1.000,0.958,0.979,115,0,5,80
0.3,combined,1.000,0.958,0.979,115,0,5,80
0.35,heuristic,1.000,0.958,0.979,115,0,5,80
0.35,llm,1.000,0.958,0.979,115,0,5,80
0.35,combined,1.000,0.958,0.979,115,0,5,80
0.4,heuristic,1.000,0.958,0.979,115,0,5,80
0.4,llm,1.000,0.958,0.979,115,0,5,80
0.4,combined,1.000,0.958,0.979,115,0,5,80
0.45,heuristic,1.000,0.958,0.979,115,0,5,80
0.45,llm,1.000,0.958,0.979,115,0,5,80
0.45,combined,1.000,0.958,0.979,115,0,5,80
0.5,heuristic,1.000,0.958,0.979,115,0,5,80
0.5,llm,1.000,0.958,0.979,115,0,5,80
0.5,combined,1.000,0.958,0.979,115,0,5,80
0.55,heuristic,1.000,0.958,0.979,115,0,5,80
0.55,llm,1.000,0.958,0.979,115,0,5,80
0.55,combined,1.000,0.958,0.979,115,0,5,80
0.6,heuristic,1.000,0.958,0.979,115,0,5,80
0.6,llm,1.000,0.958,0.979,115,0,5,80
0.6,combined,1.000,0.958,0.979,115,0,5,80
0.65,heuristic,1.000,0.958,0.979,115,0,5,80
0.65,llm,1.000,0.958,0.979,115,0,5,80
0.65,combined,1.000,0.958,0.979,115,0,5,80
0.7,heuristic,1.000,0.900,0.947,108,0,12,80
0.7,llm,1.000,0.942,0.970,113,0,7,80
0.7,combined,1.000,0.942,0.970,113,0,7,80
0.75,heuristic,1.000,0.717,0.835,86,0,34,80
0.75,llm,1.000,0.942,0.970,113,0,7,80
0.75,combined,1.000,0.942,0.970,113,0,7,80
0.8,heuristic,1.000,0.600,0.750,72,0,48,80
0.8,llm,1.000,0.825,0.904,99,0,21,80
0.8,combined,1.000,0.825,0.904,99,0,21,80
0.85,heuristic,1.000,0.458,0.629,55,0,65,80
0.85,llm,1.000,0.500,0.667,60,0,60,80
0.85,combined,1.000,0.500,0.667,60,0,60,80
0.9,heuristic,1.000,0.375,0.545,45,0,75,80
0.9,llm,1.000,0.375,0.545,45,0,75,80
0.9,combined,1.000,0.375,0.545,45,0,75,80
0.95,heuristic,1.000,0.008,0.017,1,0,119,80
0.95,llm,1.000,0.008,0.017,1,0,119,80
0.95,combined,1.000,0.008,0.017,1,0,119,80
