threshold,mode,precision,recall,f1,tp,fp,fn,tn
0.05,heuristic,0.682,0.344,0.457,8611,4008,16454,67992
0.05,llm,0.682,0.344,0.457,8611,4008,16454,67992
0.05,combined,0.682,0.344,0.457,8611,4008,16454,67992
0.1,heuristic,0.677,0.334,0.447,8367,4001,16698,67999
0.1,llm,0.677,0.334,0.447,8367,4001,16698,67999
0.1,combined,0.677,0.334,0.447,8367,4001,16698,67999
0.15,heuristic,0.674,0.330,0.443,8266,4001,16799,67999
0.15,llm,0.674,0.330,0.443,8266,4001,16799,67999
0.15,combined,0.674,0.330,0.443,8266,4001,16799,67999
0.2,heuristic,0.671,0.325,0.438,8157,3999,16908,68001
0.2,llm,0.671,0.325,0.438,8157,3999,16908,68001
0.2,combined,0.671,0.325,0.438,8157,3999,16908,68001
0.25,heuristic,0.673,0.321,0.434,8036,3912,17029,68088
0.25,llm,0.673,0.321,0.434,8036,3912,17029,68088
0.25,combined,0.673,0.321,0.434,8036,3912,17029,68088
0.3,heuristic,0.695,0.309,0.428,7755,3410,17310,68590
0.3,llm,0.695,0.309,0.428,7755,3410,17310,68590
0.3,combined,0.695,0.309,0.428,7755,3410,17310,68590
0.35,heuristic,0.779,0.283,0.415,7090,2008,17975,69992
0.35,llm,0.779,0.283,0.415,7090,2008,17975,69992
0.35,combined,0.779,0.283,0.415,7090,2008,17975,69992
0.4,heuristic,0.905,0.246,0.387,6171,651,18894,71349
0.4,llm,0.905,0.246,0.387,6171,651,18894,71349
0.4,combined,0.905,0.246,0.387,6171,651,18894,71349
0.45,heuristic,0.983,0.223,0.363,5585,98,19480,71902
0.45,llm,0.983,0.223,0.363,5585,98,19480,71902
0.45,combined,0.983,0.223,0.363,5585,98,19480,71902
0.5,heuristic,1.000,0.213,0.351,5342,2,19723,71998
0.5,llm,1.000,0.213,0.351,5342,2,19723,71998
0.5,combined,1.000,0.213,0.351,5342,2,19723,71998
0.55,heuristic,1.000,0.210,0.347,5263,0,19802,72000
0.55,llm,1.000,0.210,0.347,5263,0,19802,72000
0.55,combined,1.000,0.210,0.347,5263,0,19802,72000
0.6,heuristic,1.000,0.210,0.347,5263,0,19802,72000
0.6,llm,1.000,0.210,0.347,5263,0,19802,72000
0.6,combined,1.000,0.210,0.347,5263,0,19802,72000
0.65,heuristic,1.000,0.210,0.347,5263,0,19802,72000
0.65,llm,1.000,0.210,0.347,5263,0,19802,72000
0.65,combined,1.000,0.210,0.347,5263,0,19802,72000
0.7,heuristic,1.000,0.210,0.347,5263,0,19802,72000
0.7,llm,1.000,0.210,0.347,5263,0,19802,72000
0.7,combined,1.000,0.210,0.347,5263,0,19802,72000
0.75,heuristic,1.000,0.210,0.347,5263,0,19802,72000
0.75,llm,1.000,0.210,0.347,5263,0,19802,72000
0.75,combined,1.000,0.210,0.347,5263,0,19802,72000
0.8,heuristic,1.000,0.210,0.347,5263,0,19802,72000
0.8,llm,1.000,0.210,0.347,5263,0,19802,72000
0.8,combined,1.000,0.210,0.347,5263,0,19802,72000
0.85,heuristic,1.000,0.210,0.347,5263,0,19802,72000
0.85,llm,1.000,0.210,0.347,5263,0,19802,72000
0.85,combined,1.000,0.210,0.347,5263,0,19802,72000
0.9,heuristic,1.000,0.210,0.347,5263,0,19802,72000
0.9,llm,1.000,0.210,0.347,5263,0,19802,72000
0.9,combined,1.000,0.210,0.347,5263,0,19802,72000
0.95,heuristic,1.000,0.001,0.002,21,0,25044,72000
0.95,llm,1.000,0.001,0.002,21,0,25044,72000
0.95,combined,1.000,0.001,0.002,21,0,25044,72000
