threshold,mode,precision,recall,f1,tp,fp,fn,tn
0.05,heuristic,0.996,0.360,0.529,452,2,802,3598
0.05,llm,0.996,0.359,0.528,450,2,804,3598
0.05,combined,0.996,0.359,0.528,450,2,804,3598
0.1,heuristic,1.000,0.353,0.522,443,0,811,3600
0.1,llm,1.000,0.341,0.509,428,0,826,3600
0.1,combined,1.000,0.352,0.520,441,0,813,3600
0.15,heuristic,1.000,0.347,0.515,435,0,819,3600
0.15,llm,1.000,0.335,0.502,420,0,834,3600
0.15,combined,1.000,0.345,0.513,433,0,821,3600
0.2,heuristic,1.000,0.342,0.510,429,0,825,3600
0.2,llm,1.000,0.330,0.496,414,0,840,3600
0.2,combined,1.000,0.341,0.508,427,0,827,3600
0.25,heuristic,1.000,0.340,0.507,426,0,828,3600
0.25,llm,1.000,0.328,0.494,411,0,843,3600
0.25,combined,1.000,0.338,0.505,424,0,830,3600
0.3,heuristic,1.000,0.330,0.496,414,0,840,3600
0.3,llm,1.000,0.318,0.483,399,0,855,3600
0.3,combined,1.000,0.329,0.495,412,0,842,3600
0.35,heuristic,1.000,0.308,0.471,386,0,868,3600
0.35,llm,1.000,0.296,0.457,371,0,883,3600
0.35,combined,1.000,0.306,0.469,384,0,870,3600
0.4,heuristic,1.000,0.266,0.421,334,0,920,3600
0.4,llm,1.000,0.254,0.406,319,0,935,3600
0.4,combined,1.000,0.265,0.419,332,0,922,3600
0.45,heuristic,1.000,0.241,0.388,302,0,952,3600
0.45,llm,1.000,0.254,0.406,319,0,935,3600
0.45,combined,1.000,0.259,0.412,325,0,929,3600
0.5,heuristic,1.000,0.230,0.375,289,0,965,3600
0.5,llm,1.000,0.254,0.406,319,0,935,3600
0.5,combined,1.000,0.258,0.411,324,0,930,3600
0.55,heuristic,1.000,0.228,0.371,286,0,968,3600
0.55,llm,1.000,0.254,0.406,319,0,935,3600
0.55,combined,1.000,0.258,0.411,324,0,930,3600
0.6,heuristic,1.000,0.228,0.371,286,0,968,3600
0.6,llm,1.000,0.254,0.406,319,0,935,3600
0.6,combined,1.000,0.258,0.411,324,0,930,3600
0.65,heuristic,1.000,0.228,0.371,286,0,968,3600
0.65,llm,1.000,0.254,0.406,319,0,935,3600
0.65,combined,1.000,0.258,0.411,324,0,930,3600
0.7,heuristic,1.000,0.228,0.371,286,0,968,3600
0.7,llm,1.000,0.108,0.196,136,0,1118,3600
0.7,combined,1.000,0.231,0.376,290,0,964,3600
0.75,heuristic,1.000,0.228,0.371,286,0,968,3600
0.75,llm,1.000,0.108,0.196,136,0,1118,3600
0.75,combined,1.000,0.231,0.376,290,0,964,3600
0.8,heuristic,1.000,0.228,0.371,286,0,968,3600
0.8,llm,1.000,0.108,0.196,136,0,1118,3600
0.8,combined,1.000,0.231,0.376,290,0,964,3600
0.85,heuristic,1.000,0.228,0.371,286,0,968,3600
0.85,llm,1.000,0.108,0.196,136,0,1118,3600
0.85,combined,1.000,0.231,0.376,290,0,964,3600
0.9,heuristic,1.000,0.228,0.371,286,0,968,3600
0.9,llm,1.000,0.108,0.196,136,0,1118,3600
0.9,combined,1.000,0.231,0.376,290,0,964,3600
0.95,heuristic,0.000,0.000,0.000,0,0,1254,3600
0.95,llm,1.000,0.102,0.185,128,0,1126,3600
0.95,combined,1.000,0.102,0.185,128,0,1126,3600
