threshold,mode,precision,recall,f1,tp,fp,fn,tn
0.05,heuristic,0.881,0.592,0.708,14838,2002,10227,33998
0.05,llm,0.881,0.592,0.708,14838,2002,10227,33998
0.05,combined,0.881,0.592,0.708,14838,2002,10227,33998
0.1,heuristic,0.880,0.583,0.701,14608,2001,10457,33999
0.1,llm,0.880,0.583,0.701,14608,2001,10457,33999
0.1,combined,0.880,0.583,0.701,14608,2001,10457,33999
0.15,heuristic,0.879,0.579,0.698,14507,2001,10558,33999
0.15,llm,0.879,0.579,0.698,14507,2001,10558,33999
0.15,combined,0.879,0.579,0.698,14507,2001,10558,33999
0.2,heuristic,0.878,0.574,0.695,14398,1999,10667,34001
0.2,llm,0.878,0.574,0.695,14398,1999,10667,34001
0.2,combined,0.878,0.574,0.695,14398,1999,10667,34001
0.25,heuristic,0.879,0.570,0.692,14286,1961,10779,34039
0.25,llm,0.879,0.570,0.692,14286,1961,10779,34039
0.25,combined,0.879,0.570,0.692,14286,1961,10779,34039
0.3,heuristic,0.892,0.562,0.690,14096,1707,10969,34293
0.3,llm,0.892,0.562,0.690,14096,1707,10969,34293
0.3,combined,0.892,0.562,0.690,14096,1707,10969,34293
0.35,heuristic,0.932,0.547,0.689,13704,1002,11361,34998
0.35,llm,0.932,0.547,0.689,13704,1002,11361,34998
0.35,combined,0.932,0.547,0.689,13704,1002,11361,34998
0.4,heuristic,0.977,0.523,0.681,13114,315,11951,35685
0.4,llm,0.977,0.523,0.681,13114,315,11951,35685
0.4,combined,0.977,0.523,0.681,13114,315,11951,35685
0.45,heuristic,0.997,0.506,0.671,12687,44,12378,35956
0.45,llm,0.997,0.506,0.671,12687,44,12378,35956
0.45,combined,0.997,0.506,0.671,12687,44,12378,35956
0.5,heuristic,1.000,0.498,0.664,12472,1,12593,35999
0.5,llm,1.000,0.498,0.664,12472,1,12593,35999
0.5,combined,1.000,0.498,0.664,12472,1,12593,35999
0.55,heuristic,1.000,0.494,0.662,12393,0,12672,36000
0.55,llm,1.000,0.494,0.662,12393,0,12672,36000
0.55,combined,1.000,0.494,0.662,12393,0,12672,36000
0.6,heuristic,1.000,0.494,0.662,12393,0,12672,36000
0.6,llm,1.000,0.494,0.662,12393,0,12672,36000
0.6,combined,1.000,0.494,0.662,12393,0,12672,36000
0.65,heuristic,1.000,0.494,0.662,12393,0,12672,36000
0.65,llm,1.000,0.494,0.662,12393,0,12672,36000
0.65,combined,1.000,0.494,0.662,12393,0,12672,36000
0.7,heuristic,1.000,0.494,0.662,12393,0,12672,36000
0.7,llm,1.000,0.494,0.662,12393,0,12672,36000
0.7,combined,1.000,0.494,0.662,12393,0,12672,36000
0.75,heuristic,1.000,0.245,0.394,6152,0,18913,36000
0.75,llm,1.000,0.245,0.394,6152,0,18913,36000
0.75,combined,1.000,0.245,0.394,6152,0,18913,36000
0.8,heuristic,1.000,0.244,0.392,6114,0,18951,36000
0.8,llm,1.000,0.244,0.392,6114,0,18951,36000
0.8,combined,1.000,0.244,0.392,6114,0,18951,36000
0.85,heuristic,1.000,0.211,0.348,5278,0,19787,36000
0.85,llm,1.000,0.211,0.348,5278,0,19787,36000
0.85,combined,1.000,0.211,0.348,5278,0,19787,36000
0.9,heuristic,1.000,0.210,0.347,5263,0,19802,36000
0.9,llm,1.000,0.210,0.347,5263,0,19802,36000
0.9,combined,1.000,0.210,0.347,5263,0,19802,36000
0.95,heuristic,1.000,0.001,0.002,21,0,25044,36000
0.95,llm,1.000,0.001,0.002,21,0,25044,36000
0.95,combined,1.000,0.001,0.002,21,0,25044,36000
