threshold,mode,precision,recall,f1,tp,fp,fn,tn
0.05,heuristic,0.909,0.813,0.859,20378,2028,4687,33972
0.05,llm,0.909,0.813,0.859,20378,2028,4687,33972
0.05,combined,0.909,0.813,0.859,20378,2028,4687,33972
0.1,heuristic,0.909,0.812,0.858,20362,2027,4703,33973
0.1,llm,0.909,0.812,0.858,20362,2027,4703,33973
0.1,combined,0.909,0.812,0.858,20362,2027,4703,33973
0.15,heuristic,0.909,0.812,0.858,20355,2027,4710,33973
0.15,llm,0.909,0.812,0.858,20355,2027,4710,33973
0.15,combined,0.909,0.812,0.858,20355,2027,4710,33973
0.2,heuristic,0.910,0.812,0.858,20351,2025,4714,33975
0.2,llm,0.910,0.812,0.858,20351,2025,4714,33975
0.2,combined,0.910,0.812,0.858,20351,2025,4714,33975
0.25,heuristic,0.911,0.811,0.858,20335,1987,4730,34013
0.25,llm,0.911,0.811,0.858,20335,1987,4730,34013
0.25,combined,0.911,0.811,0.858,20335,1987,4730,34013
0.3,heuristic,0.921,0.809,0.861,20269,1733,4796,34267
0.3,llm,0.921,0.809,0.861,20269,1733,4796,34267
0.3,combined,0.921,0.809,0.861,20269,1733,4796,34267
0.35,heuristic,0.951,0.799,0.869,20039,1029,5026,34971
0.35,llm,0.951,0.799,0.869,20039,1029,5026,34971
0.35,combined,0.951,0.799,0.869,20039,1029,5026,34971
0.4,heuristic,0.983,0.785,0.873,19672,343,5393,35657
0.4,llm,0.983,0.785,0.873,19672,343,5393,35657
0.4,combined,0.983,0.785,0.873,19672,343,5393,35657
0.45,heuristic,0.996,0.776,0.873,19459,72,5606,35928
0.45,llm,0.996,0.776,0.873,19459,72,5606,35928
0.45,combined,0.996,0.776,0.873,19459,72,5606,35928
0.5,heuristic,0.999,0.773,0.871,19375,29,5690,35971
0.5,llm,0.999,0.773,0.871,19375,29,5690,35971
0.5,combined,0.999,0.773,0.871,19375,29,5690,35971
0.55,heuristic,0.999,0.772,0.871,19352,28,5713,35972
0.55,llm,0.999,0.772,0.871,19352,28,5713,35972
0.55,combined,0.999,0.772,0.871,19352,28,5713,35972
0.6,heuristic,0.999,0.772,0.871,19352,28,5713,35972
0.6,llm,0.999,0.772,0.871,19352,28,5713,35972
0.6,combined,0.999,0.772,0.871,19352,28,5713,35972
0.65,heuristic,0.999,0.772,0.871,19352,28,5713,35972
0.65,llm,0.999,0.772,0.871,19352,28,5713,35972
0.65,combined,0.999,0.772,0.871,19352,28,5713,35972
0.7,heuristic,0.999,0.772,0.871,19352,28,5713,35972
0.7,llm,0.999,0.772,0.871,19352,28,5713,35972
0.7,combined,0.999,0.772,0.871,19352,28,5713,35972
0.75,heuristic,1.000,0.294,0.454,7370,2,17695,35998
0.75,llm,1.000,0.294,0.454,7370,2,17695,35998
0.75,combined,1.000,0.294,0.454,7370,2,17695,35998
0.8,heuristic,1.000,0.278,0.435,6977,2,18088,35998
0.8,llm,1.000,0.278,0.435,6977,2,18088,35998
0.8,combined,1.000,0.278,0.435,6977,2,18088,35998
0.85,heuristic,1.000,0.217,0.357,5448,0,19617,36000
0.85,llm,1.000,0.217,0.357,5448,0,19617,36000
0.85,combined,1.000,0.217,0.357,5448,0,19617,36000
0.9,heuristic,1.000,0.210,0.347,5263,0,19802,36000
0.9,llm,1.000,0.210,0.347,5263,0,19802,36000
0.9,combined,1.000,0.210,0.347,5263,0,19802,36000
0.95,heuristic,1.000,0.109,0.197,2733,0,22332,36000
0.95,llm,1.000,0.109,0.197,2733,0,22332,36000
0.95,combined,1.000,0.109,0.197,2733,0,22332,36000
